No,Case
396,Slm bghit nswlkom wahd siyda wklat wld bntha 3la lwrt dyalha o3ndha bnatha hiya wklat lih 3la ha9ha wach iwrat m3ahom ila matet m3a l3ilm lwart dyal rajlha
397,درت كسيدة او تهرست من ايدي او مقديتش معاه او دابا كنحس براسي ضايع بغيت نعود نقيد معاه نصحوني
398,السلام عليكمعندي استشارة من حضراتكم انا والدي توفي ٢٠١٥ ومنذ ذلك الحين ولم اطلب ميراثي للعلم لكن حدثت ظروف قهرية خلال هذة السنة فقمت بطلب حقي وهو شقتين من العمارة ولكن كل الورثة رفضو كل حلول الود حتي بعد ما شرحت ظروفي لدرجة اني قلت لهم اني سوف اخذ حتي شقة واحدة اجلس فيها وابيع شقتي التي هي ملكي خارج العمارة ولكن رفضو فذهبت لمحامي في شهر مارس لكن قالي لي ان هذة القضية التي سوف ارفعها عليهم ستكلفني الالاف واكثر من ثلاث سنوات
399,مكتب اللواء للاستشارات القانونية ورفع جميع الدعاوى امام مجلس الدولة ومحو كافة الأحكام والمعلومات الجنائية من الحاسب الالى لوزارة الداخلية  ٠١٠٦٨٦٦٦٠٩٨
400,سلام عليكم ياريت حد مختص يرد عليه هوا فعلا قانون الاسره اتعدل والاب هيبقا الترتيب التاني بعد الام مباشر
401,احتاج استشارة قانونية هل يمكن للوالد الذي تنازل لأبنه على جزء من عقار خاص به لدى موثق وبالوثائق دون بقية إخوته ان يعود ويبطل هذا التنازل وبطاله وفي حالة الابطال هل يتوجه للموثق الذي قام بأعداد التنازل او الرجوع لمحامي مختص افيذوني وشكرا
402,إخوان واش يمكن قانونا تتحول المكازة سكنية إلى مكازة تجارية
403,ولدي توفي وانا لدي اخ قاصر هل يمكن اخد الوصايا عليه بدل من امي  وهو موافق ويمكن أن يشهد في المحكمه ارجو الاجابه ضروري
404,دبلة وخاتم ومحبس فى الخطوبة ويتلبسوا عند محل الدهب الخطوبة لا تزيد عن سنة على الاكثرالعفش:حجرتين واحدة نوم وواحدة انترية للعريس؛ والعروسة من كل نوع صنف واحد فقط يوم الدخلة: سيشن تصوير يوم الفرح الاشهار بمسجد كبير عشوة حلوة للاسرتين أهل العريس وأهل العروسة وبعض الاحبابلازم فى ظل هذه الظروف الصعبه التى يمر بها الطرفين والاسعار المرتفعه لازم نيسر على أنفسنا وبعد الجواز يبقى يشتروا اللى ناقصهم والله ياما ناس اعرفها ما شاء الله عملوا فرح فى انضف الفنادق واشتروا شبكه من احسن الاماكن وسكنوا فيلل وبعد اسبوعين زواج رفعوا قضايا على بعض واشتكوا بعض اذهبوا محاكم الأسرة وانتوا تجدوا المهازل العبرة ليس بالمال أو الدهب أو الفرح الفلانى والمظاهر الكاذبة العبرة بهدوء السر والحب والتآلف والاستقرار بين الأسرتين بلاش تصعبوا الحلال نسبة العنوسة زادت اوى سيبك من الفشخرة الكذابة والتى يجنى عواقبها ابناؤكم سهلوا الحلالعشان محدش يرووح للحرام
405,أرحب بكافة الاستشارات بخصوص المنازعات العقارية والوقف الاهلى ومنازعات الحيازة وتعويضات نزع الملكية للمنفعة العامة
406,السلام عليكممن فضلكم استشارةلو هايتم شراء سيارة ولسه عليها اقساط البنكازاي البائع يضمن حقه ان المشترى هايكمل سدادوازاي المشتري يضمن حقه ان يتم نقل الملكية في نهاية المدةأشكركم؛ وتحياتي لسيادتكم.
407,كيف اعرف ملفي في المحكمة هل تم تنفيذه ام  لا
408,هو اي الفرق بين كاتب العدل والمحامي
409,سلام عليكم بابا مشارك هو وخوه وجوج ولاد عمو في واحد البير بابا دافع كثر منهم في الحفرة ولا في الموطور حاط فلوس كثر منهم ودابا مابقاوش مفاهمين وقاليهم عطيوني فلوسي والله يعاونكم ومابغاوش دار معاهم قل من داكشي لي عاطي في اللول وماعطاوه والو وبغا دابا يلجأ للقانون وماعرفش باش غايبدا وشنو غايدير كنتمنى تفيدوني الله يجازيكم بالخير
410,لو سمحتم ارجو الافادة ضرورى فيه مستأجر عندى فى محل بيسلم المحل وعاوز تامينه خايف يكون طلع بطاقة ضربية او اخد شغل بورق على المحل او اخد قرض اعرف ازاى او ابقى فى امان ازاى امضيه مثلا على ورقة قبل ما يسيب المحلارجو الافادة ولكم جزيل الشكر
411,لو سمحتم انا خريج معهد فنى صحي 2012 اتعينت 2013 وكملت دراسة بنفس المعهد بنفس القسم لسنتين وحصلت على البكالوريوس لكن ملحقتش اقدم على التسوية لان امتحان اخر ترم كان بعد 11/2019 ايه الحل علما ان بعد التسوية هتكون نفس المهام والوظائف الفرق هكون على الدرجة التخصصية بدلا من الفنية... ارجو الافادة من سيادتكم
412,السلام عليكمدلوقتي انا صدر ضدي حكم بالحبس سنة بقضية نصب زوربمحكمة القاهرة وكنت حاضر وقتها في القفص وطلعت بكفالة والمحامي عمل استئناف و بعدين محضرناش وبيقولي مش عايز اعملك معارضة استئنافية لحد ما نشوف ليها حل ...( لأن تحريات المباحث أكدت بوجود تعامل مالي بين الطرفينبغرض التجارة ولم تتوصل لأصل المبلغ )....فهل دلوقتي انا لو اتقبض علية وجيت اعمل معارضة استئنافيةبتاخد وقت لما تتعمل وانا محبوس وهل من حقي اطلع بكفالة زي الحكم الاول ولا حبقي محبوس لميعاد الجلسة
413,سلام عليكم من فضلكم جاوبونيانا عمري 16 سنة قبل شهر ضربني شخص يدرس معي و سبب لي كدمات و دم في عيني و لم اشتكي و يوم الخميس ارسل لي تسجيل صوتي مع صديقه يقول لي فيه تعال الى هذا المكان على ساعة الخامسة و انا اتمشى على ساعة 12 وجدته هو و 2 من الناس فضربني و حملت له حديدة صغيرة حادة و جرحته في وجهه و بطنه جرح صغير ثم ذهبت أجري و هو قال لهم جاءني للمنزل و تعدى علي بسلاح حاد و انا عندي شهادة طبية من ع طبيب بأني مضروب فماذا سوف يحدث ؟ارجو نصاءحكمانا 16 سنة و هو 16 سنة ايضايوم قدم لي طبيب شرعي ورقة مكتوب فيها 7 ايام
414,#معلومة_هامةمدني_: مراحل التقاضي في الدعوي المدنية محاكم اول درجة (الجزئيات و الكليات)محاكم ثاني درجة (الاستئناف والاستئناف العالي)محكمة النقض (لا تعد درجة من درجات التقاضي لان مهمتها هي مراقبة تطبيق المحاكم لصحيح القانون)معلومة مهمة :تعتبر المحاكم الابتدائية من محاكم الدرجة الثانية بالنسبة للأحكام الصادرة من المحاكم الجزئية التابعة لها .. حيث يتم رفع الطعون بالاستئناف ضد أحكام المحاكم الجزئية إلى المحكمة الابتدائية مش محكمة الاستئناف ._ : مكونات ملف الدعوي المدنيةاصل صحيفة الدعوي - التي يقدما المدعي لتقاضي المدعي عليهحوافظ المستندات - التي يقدما الاطراف لاثبات ونفي الحق المتنازع عليهمذكرات الدفاع - التي بها شروح القانون وادلة اثبات الحقاحكام اول درجة وثاني درجة في حالة استئناف الحكم _: الدوائر التي تنظر الدعاوي المدنية - المدني- العمال- التعويضات- الايجارات- التجاري- الضرائب معلومة مهمة :وجود بعض المحاكم الجزئية المتخصصة منها المحكمتان التجاريتان بالقاهرة والإسكندرية ومحكمة الأمور المستعجلة ومحكمة التنفيذ المختصة بنظر جميع منازعات التنفيذ وإشكالاته اختصاصا نوعيا ._: القلم المدني المسؤول عن الدعوي المدنية - رئيس القلم المدني - قلم الجلسات- قلم الجدول- قلم القيودات- قلم المطالبة- قلم التحصيل- قلم الحفظ- قلم الحفظمش هحاول اطول في القلم المدني يكفي انك تعرف دول وان شاء الله اللي متابع معانا الهيكل_التنظيمي_للمحاكم هيعرف اكثر عن تشكيل المحاكم والاقلام المختلفة وطبيعة دورها واختصاصها .انا هنا وصلت للنهاية .. اتمني البوست يكون تأسيس وجامع لاهم النقاط اللي محتاج يعرفها دارس والمهتم بالقانون. وان شاء الله هيكون لينا بوستات تانية بتتكلم عن تفاصيل كتيير توضح طبيعة الدعوي_المدنية بالتفصيل .منقول#ثقافة_قانونية
415,السلام عليكم ممكن الإجراءات المطلوبه لأخذ أموال المتوفي من البريد وعل ممكن اعمل اعلام وراثه في حالة وجود قاصر بدون قرار وصايه وبعيد عن المجلس الحسبي وشكرا
416,عايزه استشارة قانونيه ياجماعه لو حد يقدر يفيدني من خلال تجربه لو شخص مسيحي عايز يروح الازهر يغير ديانته لأسباب تخصه يعني هل اطفاله لازم ديانتهم تتغير في شهادات الميلاد ؟ دي اول حاجه تاني حاجه قالوله في الازهر لازم شهود هل الشهود دول هيكون عليهم خطر او هيستجوبوهم بعدين في اي حاجه شكرا مقدما 
417,احفظ هذه الكلمات1 الناس people2 تاريخ history3 طريق way4 فن art5 نقود money6 عالم world7 معلومات information8 خريطة map9 اثنان two10 عائلة family11 حكومة government12 الصحة health13 نظام system14 الكمبيوتر computer15 لحم meat16 عام year17 شكرا thanks18 موسيقى music19 شخص person20 قراءة reading21 طريقة method22 معطيات data23 غذاء food24 فهم understanding25 نظرية theory26 القانون law27 طائر bird28 أدب literature29 مشكلة problem30 البرمجيات software31 مراقبة control32 معرفة knowledge33 قوة power34 القدرة ability35 علم الاقتصاد economics36 الحب love37 الإنترنت internet38 تلفزيون television39 علم science40 مكتبة library41 طبيعة nature42 حقيقة fact43 نتاج product44 فكرة idea45 درجة الحرارة temperature46 استثمار investment47 منطقة area48 مجتمع society49 نشاط activity50 قصة story51 صناعة industry52 وسائل الإعلام media53 شيء thing54 فرن oven55 مجتمع community56 تعريف definition57 سلامة safety58 جودة quality59 تطوير development60 لغة language61 إدارة management62 لاعب player63 تشكيلة variety64 فيديو video65 أسبوع week66 أمن security67 بلد country68 امتحان exam69 فيلم movie70 منظمة organization71 معدات equipment72 فيزياء physics73 تحليل analysis74 سياسة policy75 سلسلة series76 الفكر thought77 أساس basis78 خليل boyfriend79 اتجاه direction80 إستراتيجية strategy81 تكنولوجيا technology82 جيش army83 كاميرا camera84 حرية freedom85 ورقة paper86 بيئة environment87 طفل child88 مثل instance89 شهر month90 حقيقة truth91 تسويق marketing92 جامعة university93 كتابة writing94 مقالة article95 قسم department96 فرق difference97 هدف goal98 أخبار news99 جمهور audience100 صيد السمك fishing101 نمو growth102 دخل income103 زواج marriageقناتنا على تلجرام https://t.me/doctorrrrrrr#ثقافة_قانونية
418,مشاجره بين اولادى وزوجى وشخص صاحب محل وتم الصلح وفى نفس يوم الصلح اتشاجر مع ناس تانيه وراح عمل محضر لسبعة افراد منهم زوجى واولادى مره تانيه واتحولت لقضيه واخدو سنه حبس وسنه كفاله وتم الاستئناف وبعد بكره الجلسه للنطق بالحكم... احنا معانا محامى معرفة زوجى لكن لا أثق فيه... فهل يمكن ان تتولى هذه القضيه وتكون السبب فى انقاذ شابين من الحبس احدهم مهندس لسه متخرج فى الجيش والتانى فى تانيه كليه وابوهم مريض جدااا
419,سلام عليكم جاتنا قضية سب وشتم وضرب وتحريش الكلاب  ؟؟؟؟وحنا صرات عندها يومين ملي حب يزدمو علينا او الكلب مطروق هو حط يدو باه يفتح باب الكلب عضو او ماخلوناش الوقت  باه نديرو افوكات وقفة غدوا
420,لكل واحد حياته انتهت تذكر أنمع كل نهاية.. يخلق الله لك بداية جديدة
421,السلام عليكمبشتري شقة و العقد الي مع البائع غير مذكور فيه بند ان الشقة تخصها حصة من الأرضمع العلم ان هذا البائع اشترى الشقة من البائع السابق له (صاحب الرخصة) على اساس ان لها حصة ولكن لم يكتب ذلك في العقدهل في الحالة دي بيكون للشقة حصة في الأرض لو اشتريتها ولا لأ؟مع خالص الشكر لحضراتكم
422,أنا ماجر سنه واحده بردك هرخص وهدفع كام
423,لو معاك بطاقه ضريبية أو سجل تجاري ورقم فودافون ولو مش متسجل بأسمك هنسجله باقه 2500 فيلكس+3 جيجا نت+1500 دقيقه +200 ميجا واتس ب 55 جنيه سيب رقمك للتواصل لتوضيح التفاصيل 
424,_ معلومة مفيدة وبسيطة للمحامين الجدد أو اللي لسه بيتدربوا ... _ ازاي نخلي محضر #اداري يبقي #جنح ...#عشان نخلي محضر اداري يبقي جنح يبقي لازم نقدمه اكتر من طلب عشان يتجنح عشان #ميتحفظش بس لازم المحضر يكون لسه في العرض ..._1:- طلب سماع أقوال الشهود  _2:- طلب سماع أقوال الشاكي والمشكو في حقه. _3:- طلب تحريات مباحث حول الواقعه وملاستها وظروفها. _4:- طلب ارفاق مستندات. _5:- طلب ارفاق اسطوانه او فلاشه. _6:- طلب تفريغ كاميرات. #بالنسبة للطلبات دول يعتبروا اكتر الطلبات اللي بتتقدم للنيابة العامة عشان المحضر يتحول من اداري الي جنح. #بالنسبة لأول طلب... بنكتب الطلب عادي وبعدها ناخد تأشيرة معلومات من #موظف_العرض وبعدها ناخد المعلومات من #جدول_الإداري وبعدين ندخل الطلب تاني عشان ناخد #تصريح اللي هو ( عرض رفقة القضيه الخاصة )  ..  وبعدين المحضر بيروح للنيابة ومن النيابة #للاستيفاء عشان نسمع الشهود في المحضر. ودا أول خطوه. #وهكذا تاني طلب ... #بالنسبة لتالت طلب واللي هو تحريات مباحث ..  نفس الخطوات اللي فوق بس هنا الاستيفاء بترسل المحضر #للمركز عشان يتم فيه التحريات .. لو التحريات #ايددت الواقعه وملاستها وظروفها  بنسبه 80% المحضر هيتحول ... اما لو عكس كده ممكن #يتحفظ... #بالنسبة لرابع طلب واللي هو طلب ارفاق مستندات مثلا زي ( صوره رسمية من المحضر او من الحكم او شهادة او معاينه ... الخ))  نفس خطوات أول مره #بالنسبة لخامس طلب واللي هو طلب ارفاق اسطوانه او فلاشه نفس الخطوات بس بيكون معانا ( الاسطوانه او الفلاشه في ظرف مغلق ونقدمه مع الطلب) #اما بالنسبة لسادس طلب واللي هو طلب تفريغ كاميرا نفس الخطوات اللي فوق بس هنا بناخد #جواب او #اذن من النيابة عشان نفرغ الكاميرا اللي هتساعدنا ان المحضر يتحول من اداري لجنح إن شاءلله ... #هيكون كل التعامل مع #استيفاء النيابة عشان هي اللي بتكون حلقه الوصل بين ((المحامي و النيابة)) #طب صيغة الطلب ازاي ...#السيد الاستاذ / رئيس نيابة.........               تحية طيبة وبعد... مقدمه لسيادتكم ا /....( المحامي)وكيلا عن السيد /......بتوكل رقم (.....) حرف (...) لسنه (....) توثيق.....              « الموضوع »  الرجاء من سيادتكم التكرم بالموافقة علي.....(( سماع أقوال الشهود او الشاكي والمشكو في حقه لاضافه أقوال جديدة))  او (( إرسال المحضر للتحريات)) او (( ارفاق مستندات وهي عبارة عن.......)) او (( ارفاق اسطوانه او فلاشه الموضحة بكذا......)) او (( التصريح لي بتفريغ الكاميرا لبيان ما جاء في المحضر من كذا.... وكذا.)) في القضيه رقم (......) لسنه(.....)  اداري.......)                  «  لذلك  » التمس من سيادتكم اتخاذ اللازم قانونآ ب .............. في القضيه المذكوره اعلاه. ولسيادتكم جزيل الشكر والاحترام                        مقدمه لسيادتكم                          ا/..............                               المحامي #إن شاءلله اكون قدرت وقدمت معلومة مفيده للمحامين الجدد وعذرآ للاطاله ...#دمتم_سالمين...
425,{ وَمِنكُم مَّن يُرِيدُ الْآخِرَةَ }
426,ممكن معلومات على نظام الوقف
427,Braby  fameech mohamyy najem nesalou cas urgente
428,سؤالى الى زملائى فى عقدين بيع لشقة العقد الاول بين زوجة بائعة وزوجها مشترى وبعدها ب اسبوع تم عمل عقد بيع لنفس الشقة فيه باع الزوج لزوجته نفس الشقة وتم رفع صحة توقيع على العقدين وحضروا كلا منهما فى الدعوتين واقروا بذلك فوجئت بان القاضى بدلا من ان يعطى حكم بصحة التوقيع على العقدين كل عقد لوحده فوجئت انه ضم الدعوتين الى دعوى واحدة و اجلها الى للجلسة القادة للاستجواب ما راى سيادتكم فى هذا القرار وكنت محتاج مذكرة لكى اقدمها تفيد وتوضح عدم الضم للدعوتين
429,السلام عليكم الاستاذه الافاضل ارجو الافاده انا عندي بيت وفي جار فوقيه محامي ومفيش بينا ود غير ايجاره ال ٥ جنيه ! جاب يافطهً وعلقها علي باب البيت كادعايه ليه يعني مع العلم انو معندوش مكتب ده حاططها دعايهوانا ست وحيده معرفتش اتكلم معاه بس عايز افهم دي حاجه قانونيه انو يعمل دعايه لنفسه علي باب بيت ميبقاش مخالف في الناقبه  اسفه طولت عليكم
430,سلام خوتي انا مطلقة عندي،الان سأتزوج اجنبي وطلبولي رسم الولادة وتاريخ الازدياد ،مشيت جبتهم سولت واحد العدول قالي خاص تكون فرسم الولادة مطلقة ،فين نمشي باش يعدلوهالي؟
431,مناقشه في اي مشكله تهم القانون مجانا 
432,هل الكمبياله تسجن ؟ ومتى يتم الحكم بالسجن ع صاحب الكمبياله ؟
433,لو سمحتوا انا اتعملى طلب احضار من مباحث الكهربا على سرقه كهربا تلات فاز ولما روحت ليهم هناك  قالوا عايزين ٢٥٠ الف او هيعملوا محضر وهيحطوا فيه ٥٠٠ الف  ..المحامى بيقولى سيبهم يعملوا محضر ونشتغل عليه وناس بتقولى اتصرف واستلف وادفع الفلوس ...ايه الحل من وجهة نظركم ولو اتعمل قضيه وخسرها المحامى هيبقى فيه حبس والقضيه هتنزل على الكمبيوتر ولا لا ...ارجوا النصيحه لانى حرفيا لاعارف انام ولا ارتاحو
434,هو فى حاجه فى القانون بتسمح بالتحفظ بااهل المتهم .يعنى أخذ مراته او بنته لحين ظهور المتهم .برجاء الرد
435,اللهم في هذه الليله . ابطل اثر عينٍ اصابت رزقا فأمسكته وأصابت بيتًا فدمرته وأصابت جسدًا فأمرضته وأصابت قلبًا فأحزنته وأصابت جمالاً فشوهته وأصابت عقلاً فشوشته وأصابت ناجحًا فأفشلته اللهم اكشف ضرّ كل مصاب ومبتلى وإشف كل مريض يارب.
436,لو سمحتوا حضوري كمجني عليه في جلسة الاستئناف للمتهم قضية إتلاف مهم ولا مالوش لازمة وايه اللي بيتم لو سمحتوا
437,هو ينفع الجار يرتفع بالمباني عن جاره ؟؟ وهل فيه اجراء ممكن اعمله قبل ما يبني
438,سلام عليكم ورحمه الله لوليدة ديلي قامت بي بيع ارض دون اخبار اي احد وهاد سيد نصب عليها وعطها غير نص الفلوس وانا بغيت ندير عتراض ونرجع ديك الارض واش ممكن
439,السلام عليكملقد قمت بشراء منتج عبارة عن تيفي بوكس .من موقع علي إكسبريس مع دفع المبلغ الذي كان مجموعه تقريبا 240 درهم مع ثمن شحن. لكن عند تسلمي المنتج دفعت مبلغ 215 درهم من أجل التخليص الجمركي وهذا مبلغ مرتفع جدا و مشكوك فيه مع العلم أن نسبة التخليص الجمركي لا يجب أن تتجاوز ٪ 25 بالمئة.
440,محتاج اسأل ضروري ارجوكم .. . لو في ورشة اسطمبات حديد ملاصقة للبيت شغالة دق ورج ف البيت بالنهار باوزان تقيلة جدا واحيانا بالليل العمال بتطبق لتاني يوم  .. غير ان في مكنة شغالة ٢٤ ساعة زن عندهم وبتسمع في الحيطة عملت شكوتين اونلاين في شكاوي مجلس الوزرا واتحولت للحي وفي موظفين نزلت عاينت وافادوا ان اتعملهم محضر بيئة و ورشة بدون ترخيص وقرار غلق .. الشكوي الاولي كانت من سنة بالظبط .. ولحد دلوقتي هم لسة شغالين والشكوي التانية اتعملت من اسبوع ونزلوا عاينوا بردو وافادوا بنفس النتيجة .. لكن الوضع مازال مستمر ومافيش غلق بيتنفذ .. مع العلم ان صاحبها بينزعج جدا من الشكوي دي وبيكلم طوب الارض عشان يتكلموا معانا مانعملش شكاوي تاني .. عايز اعرف ايه الوضع القانوني واقدر اعمل ايه عشان اجيبله غلق فعلا .. سواء بدعوي قضائية او باي طريقة قانونية بحيث ماحتكش بيه نهائي .. ويتم التنفيذ فعلا وينقل من هنا ... لان الوضع لا يطاق ومابنشوفش الراحة. وبجد تعبنا علي الحال ده بقالنا سنة واطفال تتفزع من الهبد و رج البيت لان الحديد بالاطنان .. وناس كبيرة وعيانة مش عارفة ترتاح.. . وماحدش من الجيران مضرور غيرنا.. . علما بانه مش باني اي جدار بينا ومستخدم حيطة البيت ومقفل الارض بسقف صاج ...
441,لو سمحت فى قضية. مشاجرة والمفروض اتاجلت للقرار   لعدم الحضور ممكن اعرف يعنى ايه اتاجلت للقرار...
442,"نصائح قانونية هامة ⁦⁩1- لا تسمح لأحد بإستخدام هاتفك الجوال سواء بإجراء مكالمة أو إرسال رسالة أو إستخدام وسائل التواصل الاجتماعي .2- اتلف كارت تعبئة الموبايل بعد الإنتهاء من التعبئة ولا ترميه في الشارع قد يستخدم ضدك كدليل تواجد في محل الجريمة. 3- إذا وصلت إليك رسالة تهديد أو إهانة بواسطة الموبايل لا ترد بمثلها فذلك يؤدي إلى ضياع حقك بل احتفظ بها وقدمها للقاضي.4- إذا تعرضت لحادث إعتداء او إهانة في مكان عام فحاول قدر الإمكان أن لا تفقد أعصابك ولا تواجه الخطأ بخطأ آخر، واحرص على تثبيت شهادة الشهود وإقامه شكوى أمام القضاء وتأكد سيأتيك المعتدي "" متوسلاً ذليلاً "" طالباً رضاك.5 - إياك أن توقع علي أي أوراق بدون أن تطلع على ما فيها ولا تعطي لأحد بدون صفة أو سبب صورة من البطاقة الشخصية.6- لا تثق في أحد يطلب منك أي شيء في الشارع مثل حمل أشياء أو يعرض عليك توصيل مجاني بسيارته."
443,"السلام عليكم اخوان ، لي عندو شي فكرة باش افيدني فواحد المشكل الله يجازيه بالخير , المشكل واحد سيدة نصباتني مابغاتش تعطيني فلوسي وعندي سمية و الكنية ديالها نمرة تليفون جوج نوامر عندها + صورة ديالها + والمدينة عرفتها والمحادثة بيني و بينها وكاين إمكانية دواحد السيد اقدر أوري ليا فين كائنة بالظبط السؤال ديالي واش نمشي تال اقرب كوميسيرية فمدينتها ولا نمشي لشي اقرب كوميسيرية قريبة ليا للعلم انا فكازا هيا ف تمارة"
444,بعد اذن الادمن أنا اسمي محمد أشرف من اسكندريه خريج كلية الشريعة والقانون جامعة الأزهر وعاوز انزل في مكتب للمحاماه تحت التدريب إن أمكن
445,بعد نجاحنا فى تقديم المساعدات  والاستشارات القانونيه لغير القادرين على توكيل أحدا من زملاءنا المحامين وجدنا رغبه منهم فى تقديم المزيد من المساعدات وعدم قصرها عالاستشارات فقط بل يرغبون فى مساعدتنا لهم فى كتابة الدعاوى والانذارات والإعلانات والاستتئنافات والتوقيع على العرائض والاستئنافات لذلك فقد قررنا تقديم هذه الخدمه لهم بمقابل بسيط فى استطاعة الجميع والله الموفق والمستعان
446,لو سمحتم حكم الاستئناف في قضية عمالية جاء ب 150.000 ممكن تيجى محكمة النقض تلغي الحكم دة او تلقلله  ولو هايقل ممكن يوصل لكام؟؟؟ والأفضل انفذ بحكم الاستئناف ولا استنى النقض؟?؟؟؟
447,لماذا لا ينفذ قرار الغلق بدون ترخيص و ما الإجراءات البديلة له!!
448,سلام وعليكم ممكن الإجابة على سؤالي انا خرجت ليا فلوس طلاق مدة عام دبا ولكن المحامي كيقولي مزال وقت باش نهزوها مدة سنة دبا وهو كيقولي راها ف مكتب التصفية معرفت واش صح ولا لا
449,السلام عليكمعندي مشكلة في حساب الضرائب على المرتب الخاص بي. ده تخصص ايه؟باختصار مرتبي بعض شهور بيبقى قليل وشهور بيبقى أعلى من المعتاد، وفي الشهور العالية بدخل في شريحة ضرائب أعلى من دخلي.المفروض ان في آخر كل سنة يتم حساب اجمالي المرتب السنوي ويتحدد عليه شريحة الضرائب، ولو ليا فرق ضرائب في خلال السنة الفلوس المفروض ترجعلي تاني وده مبيحصلش.الاسئلة دي أي تخصص من السادة المحامين يقدر يجاوب عليها؟
450,السلام عليكم محتاج استشاره يا جماعه الخير اشتريت شقه من صاحب عقار لم يدخلها الكهرباء ولم تسكن بعدم استكمال المرافق والخدمات مع ان فى شروط العقد هو ملزم بدخول المرافق والخدمات للعماره بالكامل فبالتالى لم تسكن ومش عارف اوصل للسكان ولا عايز يدلنى عليهم خالص بقالى 6سنوات على هذا الوضع ومش عارف اعمل ايه معاه مش نافع معاه اى كلام بالود خالص
451,لو انت صاحب شركه أو مصنع أو محل تجاري نقدم لك كافه الخدمات الماليه والضريبية  _فتح السجل التجاري والبطاقة الضريبية_إستخراج رخص وسجلات صناعيه_كشف الحساب الضريبي _خدمات الفواتير إلالكترونية_متابعة التسهيلات الائتمانيهصياغة العقود وكافة الاستشارات القانونية نقدم كل هذه الخدمات وأكثر ومتابعه عملك بأعلي كفاءة وأقل تكلفة  للتواصل معنا خاص
452,"#معلومة_قانونية مدنياولا : مفهوم الدعوي المدنية هى الحق فى طلب الحماية القضائية حال الاعتداء على حق من الحقوق المصونة رغبة فى الحصول على حكم قضائي ""مقرراً"" أو ""منشأ"" لــ (حق أو مركز قانوني)ثانيا : اركان الدعوي المدنيةالمدعي - فالمدعي هو الذي يقيم الدعوى ويكون شخصا  طبيعيا  أو قد يكون معنويا ً كالدولة ومؤسساتها أو الشركة . المدعي عليه - وهو الخصم الذي تقام عليه الدعوى وهو كذلك يكون شخصا  طبيعيا  أو معنويا . المدعي به - وهو ما يطلبه المدعي من المدعى عليه أمام القضاء وقد يكون إلزامه بدفع مبلغ من المال أو القيام بعمل أو الامتناع عن عمل معين وهو النتيجة التي يسعي المدعي الوصول إليها في دعواه .ثالثا : شروط اقامة الدعوى المدنية الأهلية : مايرد على أهلية التعاقد يرد كذلك على أهلية التقاضي .. وعدم الأهلية ترد على الصغير والمجنون والمعتوه .المصلحة : يشترط لرفع الدعوى أن تكون هناك مصلحة معلومة مستندة الى القانون والمصلحة المعلومة هو الحق الذي يسعي المدعي الحصول عليه من جراء دعواه .رابعا : القوانين الحاكمة للدعوي المدنية - قانون المرافعات- القانون المدنيمنقول#شارك_لنشر_الوعي#ثقافة_قانونية"
453,السلام عليكم. في كورنيش راقي منعني أحد الحراس من ربط دراجتي بعمود الإنارة. علما أنه لا توجد لافتة تمنع هذا. هل ما قام به قانوني
454,محتاجة محامي شاطر يكلمني ضرورييا ريت لو ف محامي هنا ي يرد
455,السلام عليكم اريد استشارتكم حول المباني فقد ابرمنا عقد مشاركه منذ 2015 مع مقاول وابرمنا مع كاحول قدمه لنا عقدين كما تعلمون ( حقيقي ، صوري ) بتاريخ واحد ثم بعد اربع سنوات تنصل المقاول وادعي التعثر وطلب ادخال مقاول اخر محله  فقمنا بابرام عقد مشاركه مع مقاول جديد وفسخ ودي للعقد القديم ثم فوجءنا بقيام محامي هذا المقاول القديم والكاحول بسحب كافة الاوراق من ملف الرخصه بالمركز الذكي وبه كافة الموافقات من الجهات الرسمية وذلك بدون اي صفه في سحبه فليس معه توكيل عنا وبرغم فسخ عقد موكله وقد قمت بارسال انذارات للحي والمركز بعدم التعامل مع الكاحول وارسلت لهم صوره من حكم ص .ت علي ورقة الضد والان ماذا افعل مع هذا الكاحول ووكيله؟ وما الاجراءات التي اتبعها لاستخراج الرخصه باسماءنا ؟ وشكرا لحضراتكم
456,السلام عليكم ورحمة الله لو سمحت صاحب العماره قدم علي عدادات كهربا للعماره وعاوز يعمل لكل شقه تنازل عن العداد عاوزه اعرف صيغه التنازل اللي تتكتبوسعر تنازل العداد سعره كم ولكم جزيل الشكر
457,والدي توفي وترك لي انا واخواتي قطعه أرض واحنا بنعمل إعلام وراثه لم نذكرها لأننا كنا قصر وحاليا نريد بيعها نكتب الأرض دي آلت إلينا عن طريق الميراث الشرعي ولا هيبقى في غلط وايه الحل؟؟
458,الله يرحم ليكم الوالدين اريد استشارة من محام نحن نكتري ساعة واحدة من الماء  للسقي  لشخص لمدة 40 سنة يستغلها بتمن هزيل هدا الشخص يجمعنا معه عقد لكن صاحب العقد توفي والان يستغلها ابنه ... العقد انتى في هدا الشهر لكن الابن اعترض على التنازل على هده الساعة للسقي بحجة انه ملكه والبارحة توصلنا  اندار من المحكمة لعدم الاقتراب الى منبع الماء للإستغلال ساعة السقي الخاصة بنا ولا نعرف ما هو العمل هدا الشخص برلماني وله نفود
